735 158 -1 (0, -1) (0, -1) 0 0
735 184 -1 (0, -1) (0, -1) 0 0
735 215 -1 (0, -1) (0, -1) 0 0
735 251 -1 (0, -1) (0, -1) 0 0
735 292 -1 (0, -1) (0, -1) 0 0
735 341 -1 (0, -1) (0, -1) 0 0
735 398 -1 (0, -1) (0, -1) 0 0
735 464 -1 (0, -1) (0, -1) 0 0
735 541 -1 (0, -1) (0, -1) 0 0
735 630 -1 (0, -1) (0, -1) 0 0
735 735 -1 (0, -1) (0, -1) 0 0
735 857 -1 (0, 0) (0, 0) 0 0
735 1000 1 (1, 0) (0, 0) 0 0
735 1165 1 (1, 0) (0, 0) 0 0
735 1359 1 (1, 0) (0, 0) 0 0
735 1584 -1 (0, 0) (0, 0) 0 0
735 1847 -1 (0, 0) (0, 0) 0 0
735 2154 -1 (0, 0) (0, 0) 0 0
735 2511 -1 (0, 0) (0, 0) 0 0
735 2928 -1 (0, 0) (0, 0) 0 0
735 3414 -1 (0, 0) (0, 0) 0 0
735 3981 -1 (0, 0) (0, 0) 0 0
735 4641 -1 (0, 0) (0, 0) 0 0
735 5411 -1 (0, 0) (0, 0) 0 0
735 6309 -1 (0, 0) (0, 0) 0 0
735 7356 -1 (0, 0) (0, 0) 0 0
735 8576 -1 (0, 0) (0, 0) 0 0
735 10000 -1 (0, 0) (0, 0) 0 0
857 100 -1 (0, -1) (0, -1) 0 0
857 116 -1 (0, -1) (0, -1) 0 0
857 135 -1 (0, -1) (0, -1) 0 0
857 158 -1 (0, -1) (0, -1) 0 0
857 184 -1 (0, -1) (0, -1) 0 0
857 215 -1 (0, -1) (0, -1) 0 0
857 251 -1 (0, -1) (0, -1) 0 0
857 292 -1 (0, -1) (0, -1) 0 0
857 341 -1 (0, -1) (0, -1) 0 0
857 398 -1 (0, -1) (0, -1) 0 0
857 464 -1 (0, -1) (0, -1) 0 0
857 541 -1 (0, -1) (0, -1) 0 0
857 630 -1 (0, -1) (0, -1) 0 0
857 735 -1 (0, -1) (0, -1) 0 0
857 857 -1 (0, -1) (0, -1) 0 0
857 1000 -1 (0, 0) (0, 0) 0 0
857 1165 1 (1, 0) (0, 0) 0 0
857 1359 -1 (0, 0) (0, 0) 0 0
857 1584 -1 (0, 0) (0, 0) 0 0
857 1847 -1 (0, 0) (0, 0) 0 0
857 2154 -1 (0, 0) (0, 0) 0 0
857 2511 -1 (0, 0) (0, 0) 0 0
857 2928 -1 (0, 0) (0, 0) 0 0
857 3414 -1 (0, 0) (0, 0) 0 0
857 3981 -1 (0, 0) (0, 0) 0 0
857 4641 -1 (0, 0) (0, 0) 0 0
857 5411 -1 (0, 0) (0, 0) 0 0
